ticker,quantity,averagePrice,currentPrice,ppl,fxPpl,initialFillDate,frontend,maxBuy,maxSell,pieQuantity
GGRGl_EQ,1.24651461,3188.00114184,2908.0,-3.49,,2024-12-30T10:03:01.000+02:00,AUTOINVEST,49999998.75348539,50000000.0,1.24651461
JNPR_US_EQ,0.281997,37.62451374,34.0,-1.14,-0.35,2025-01-02T16:30:06.000+02:00,AUTOINVEST,98195.718003,98196.0,0.281997
QCOM_US_EQ,0.0650698,155.52529745,127.06,-1.76,-0.33,2025-01-02T16:30:07.000+02:00,AUTOINVEST,487752.9349302,487753.0,0.0650698
AMGN_US_EQ,0.7466009,259.80413364,291.0,13.07,-4.97,2025-01-06T16:30:04.000+02:00,AUTOINVEST,113714.2533991,113715.0,0.7466009
XNAQl_EQ,1.109752,39.35113431,31.785,-8.4,,2024-12-30T10:00:34.000+02:00,AUTOINVEST,49999998.890248,50000000.0,1.109752
FORM_US_EQ,0.361801,42.8688699,23.75,-5.86,-0.5,2025-01-02T16:30:01.000+02:00,AUTOINVEST,27971.638199,27972.0,0.361801
NXL_US_EQ,8.47618,2.79371132,1.65,-8.03,-0.52,2024-12-31T16:30:14.000+02:00,AUTOINVEST,593.52382,602.0,8.47618
ISRG_US_EQ,0.0208274,547.8360237,451.0,-1.7,-0.14,2025-01-21T16:30:05.000+02:00,AUTOINVEST,58264.9791726,58265.0,0.0208274
GOOGL_US_EQ,0.0971852,190.66689167,144.79,-4.17,-0.72,2025-01-02T16:30:01.000+02:00,AUTOINVEST,1161562.9028148,1161563.0,0.0971852
AMBO_US_EQ,22.08407,2.54708484,2.75,2.07,-1.4,2025-01-03T17:24:35.000+02:00,AUTOINVEST,374.91593,397.0,22.08407
IMBAl_EQ,41.34651,5.2069691,5.3445,1.85,-2.55,2024-12-30T10:00:02.000+02:00,AUTOINVEST,49999958.65349,50000000.0,41.34651
CSH2l_EQ,0.17429593,116780.17954866,117599.5,1.43,,2025-01-07T10:58:43.000+02:00,AUTOINVEST,49999999.82570407,50000000.0,0.17429593
ESTC_US_EQ,0.6645252,106.18107485,76.0,-16.35,-0.82,2025-01-02T16:30:01.000+02:00,AUTOINVEST,75280.3354748,75281.0,0.6645252
IS05d_EQ,3.27756,3.70092386,3.5229,-0.27,0.22,2024-12-30T10:04:09.000+02:00,AUTOINVEST,49999996.72244,50000000.0,3.27756
IIVI_US_EQ,0.141094,94.90127149,50.22,-5.29,-0.41,2025-01-02T16:30:01.000+02:00,AUTOINVEST,104144.858906,104145.0,0.141094
TLNE_US_EQ,1.4220928,226.50420563,166.0,-73.43,-6.8,2025-01-06T18:59:21.000+02:00,AUTOINVEST,2388.5779072,2390.0,0.4179862
GLDWl_EQ,0.79658914,21123.81296084,23278.0,17.16,,2024-12-30T10:00:32.000+02:00,AUTOINVEST,49999999.20341086,50000000.0,0.79658914
PYXl_EQ,1402.49383,2.27346455,1.68,-8.32,,2025-01-07T10:20:55.000+02:00,AUTOINVEST,6651.50617,8054.0,1402.49383
DXJGl_EQ,1.74004475,2311.49802325,2079.5,-4.04,,2024-12-30T10:00:43.000+02:00,AUTOINVEST,49999998.25995525,50000000.0,1.74004475
UUUU_US_EQ,9.08572,5.59009082,3.44,-16.31,-1.18,2025-01-06T18:59:49.000+02:00,AUTOINVEST,158077.91428,158087.0,9.08572
FSLR_US_EQ,0.2973056,179.20954062,128.79,-13.15,-1.54,2025-01-03T16:33:06.000+02:00,AUTOINVEST,201785.7026944,201786.0,0.2973056
TER_US_EQ,0.0842617,128.76550081,68.71,-4.27,-0.35,2025-01-02T16:30:02.000+02:00,AUTOINVEST,102980.9157383,102981.0,0.0842617
LEU_US_EQ,2.8793138,89.22612047,53.99,-83.82,-5.26,2025-01-06T18:59:28.000+02:00,AUTOINVEST,15952.1206862,15955.0,0.987687
BOSC_US_EQ,2.20304,3.98540199,3.55,-0.85,-0.11,2025-01-21T16:30:00.000+02:00,AUTOINVEST,816.79696,819.0,2.20304
PDN_CA_EQ,12.36186,7.13323076,3.7,-24.04,-0.95,2025-01-07T16:33:11.000+02:00,AUTOINVEST,1337.63814,1350.0,12.36186
KNW_US_EQ,14.9061525,6.4060796,0.5599,-69.99,-2.51,2025-02-19T09:28:41.000+02:00,,485.0938475,500.0,0.0
AMZN_US_EQ,0.0126772,217.71369072,170.2,-0.59,-0.12,2025-01-13T22:22:09.000+02:00,AUTOINVEST,1697291.9873228,1697292.0,0.0126772
NIO_US_EQ,53.09591,4.3202951,3.44,-40.39,-4.2,2025-01-03T16:57:53.000+02:00,AUTOINVEST,3013745.90409,3013799.0,53.09591
NVEC_US_EQ,0.154159,82.51221142,58.66,-3.26,-0.41,2025-01-02T16:40:02.000+02:00,AUTOINVEST,724.845841,725.0,0.154159
SMCI_US_EQ,0.821627,33.95701456,28.95,-3.74,-0.55,2025-01-14T17:23:58.000+02:00,AUTOINVEST,301211.178373,301212.0,0.821627
AIXI_US_EQ,5.1985,4.50514572,3.09,-6.11,-0.41,2025-01-28T16:31:52.000+02:00,AUTOINVEST,1494.8015,1500.0,5.1985
LRCX_US_EQ,4.2341999,74.8642028,58.85,-57.16,-4.65,2024-12-31T16:30:01.000+02:00,AUTOINVEST,4438.7658001,4443.0,4.2341999
VAGSl_EQ,6.807251,24.91754748,25.162,1.66,,2025-01-06T18:21:39.000+02:00,AUTOINVEST,49999993.192749,50000000.0,6.807251
VRT_US_EQ,0.0262493,105.90758611,57.51,-1.06,-0.08,2025-01-21T16:30:12.000+02:00,AUTOINVEST,525679.9737507,525680.0,0.0262493
DADA_US_EQ,32.54755,1.86680718,1.9,-0.38,-1.22,2025-01-28T16:31:59.000+02:00,AUTOINVEST,66600.45245,66633.0,32.54755
UCAR_US_EQ,7.74622,3.03631965,2.51,-3.58,-0.42,2025-01-28T16:32:26.000+02:00,AUTOINVEST,7055.25378,7063.0,7.74622
GDS_US_EQ,0.749192,32.26142297,21.31,-6.72,-0.37,2025-01-28T16:32:10.000+02:00,AUTOINVEST,60265.250808,60266.0,0.749192
KLAC_US_EQ,0.1305589,697.23320279,575.0,-12.95,-0.59,2025-01-02T16:30:00.000+02:00,AUTOINVEST,34935.8694411,34936.0,0.1305589
TDC_US_EQ,0.400472,30.61387563,19.93,-3.69,-0.38,2025-01-02T16:30:01.000+02:00,AUTOINVEST,38049.599528,38050.0,0.400472
SYNA_US_EQ,0.162339,77.36896248,49.07,-3.91,-0.35,2025-01-02T16:30:00.000+02:00,AUTOINVEST,14007.837661,14008.0,0.162339
HYEAl_EQ,2.07126,5.75012311,5.531,-0.15,0.23,2024-12-30T10:05:41.000+02:00,AUTOINVEST,49999997.92874,50000000.0,2.07126
AMD_US_EQ,0.0902169,122.26090677,84.85,-2.96,-0.35,2025-01-02T16:30:01.000+02:00,AUTOINVEST,2943128.9097831,2943129.0,0.0902169
DQ_US_EQ,1.092918,20.20279655,15.36,-4.48,-0.38,2025-01-28T16:32:10.000+02:00,AUTOINVEST,55221.907082,55223.0,1.092918
CRUS_US_EQ,0.9661525,105.42849084,83.23,-17.26,-0.65,2025-01-02T16:30:02.000+02:00,AUTOINVEST,20420.0338475,20421.0,0.9661525
QMCO_US_EQ,1.723312,17.68687272,11.38,-8.47,-0.05,2025-01-13T22:22:23.000+02:00,AUTOINVEST,1198.276688,1200.0,1.723312
IBM_US_EQ,0.4416206,230.19759495,227.5,-3.59,-2.67,2025-01-02T16:30:40.000+02:00,AUTOINVEST,170829.5583794,170830.0,0.4416206
LSCC_US_EQ,1.315405,61.66921975,39.05,-23.6,-0.56,2025-01-02T16:30:02.000+02:00,AUTOINVEST,133734.684595,133736.0,1.315405
GFAI_US_EQ,29.07157,1.32982154,0.8739,-10.91,-0.65,2025-01-21T16:30:01.000+02:00,AUTOINVEST,5450.92843,5480.0,29.07157
SVFC_US_EQ,1.567401,24.65227469,17.2,-9.65,-0.61,2025-01-21T16:30:00.000+02:00,AUTOINVEST,60559.432599,60561.0,1.567401
SERV1_US_EQ,3.837978,9.98702963,5.11,-15.04,-0.55,2025-01-21T16:30:12.000+02:00,AUTOINVEST,245591.162022,245595.0,3.837978
CRWD_US_EQ,0.0658981,380.43585475,319.47,-3.49,-0.38,2025-01-21T16:30:12.000+02:00,AUTOINVEST,233879.9341019,233880.0,0.0658981
HTHIY_US_EQ,1.471854,25.24027519,19.52,-7.71,-1.19,2025-02-19T09:32:38.000+02:00,,2998.528146,3000.0,0.0
APP_US_EQ,0.0032061,386.76273354,215.6,-0.45,-0.03,2025-01-21T16:30:12.000+02:00,AUTOINVEST,245584.9967939,245585.0,0.0032061
CLS_US_EQ,0.0120353,113.83181142,65.79,-0.49,-0.04,2025-01-21T16:31:07.000+02:00,AUTOINVEST,113235.9879647,113236.0,0.0120353
DEMSl_EQ,1.43927753,2109.50281423,1973.5,-1.96,,2024-12-30T10:04:51.000+02:00,AUTOINVEST,49999998.56072247,50000000.0,1.43927753
JD_US_EQ,17.188484,38.69509376,36.51,-40.28,-11.2,2024-12-31T16:30:01.000+02:00,AUTOINVEST,844126.811516,844144.0,17.188484
TSEM_US_EQ,0.243909,51.98660156,29.98,-4.56,-0.4,2025-01-02T16:30:02.000+02:00,AUTOINVEST,17106.756091,17107.0,0.243909
MKSI_US_EQ,0.1034928,106.96396271,58.55,-4.23,-0.35,2025-01-02T16:30:01.000+02:00,AUTOINVEST,43336.8965072,43337.0,0.1034928
ON_US_EQ,0.225482,61.33527288,33.11,-5.33,-0.4,2025-01-02T16:30:00.000+02:00,AUTOINVEST,4169.774518,4170.0,0.225482
CEA1l_EQ,0.03486377,14720.43901162,13191.5,-0.53,,2025-01-06T18:20:29.000+02:00,AUTOINVEST,49999999.96513623,50000000.0,0.03486377
HON_US_EQ,0.0633201,226.15251713,190.96,-2.24,-0.51,2025-01-02T16:30:02.000+02:00,AUTOINVEST,123183.9366799,123184.0,0.0633201
LK_US_EQ,3.629236,29.02539267,32.01,5.92,-2.47,2025-01-03T16:09:31.000+02:00,AUTOINVEST,2997.370764,3001.0,3.629236
A_US_EQ,0.1575566,133.34890446,103.03,-4.14,-0.44,2024-12-31T16:30:01.000+02:00,AUTOINVEST,115037.8424434,115038.0,0.1575566
NOC_US_EQ,0.0214296,474.11057603,484.93,-0.14,-0.32,2025-01-02T16:30:02.000+02:00,AUTOINVEST,54080.9785704,54081.0,0.0214296
IRBT_US_EQ,1.5424,4.25959544,2.15,-2.57,-0.05,2025-01-21T16:30:12.000+02:00,AUTOINVEST,68950.4576,68952.0,1.5424
ITAC_US_EQ,8.76983,1.82785755,0.96,-6.12,-0.23,2025-01-21T16:30:12.000+02:00,AUTOINVEST,9991.23017,10000.0,8.76983
PDD_US_EQ,0.4999919,119.80194079,102.93,-7.77,-1.24,2025-01-28T16:31:50.000+02:00,AUTOINVEST,2999.5000081,3000.0,0.4999919
ISP6l_EQ,0.14945124,7506.99693091,5940.0,-2.34,,2024-12-30T10:02:52.000+02:00,AUTOINVEST,49999999.85054876,50000000.0,0.14945124
APLD_US_EQ,74.37061,8.14232934,4.88,-200.33,-12.46,2024-12-26T20:07:49.000+02:00,AUTOINVEST,167811.62939,167886.0,62.37061
BABA_US_EQ,5.4371183,116.68497263,115.53,-17.29,-12.43,2024-12-31T16:31:11.000+02:00,AUTOINVEST,1033991.5628817,1033997.0,5.4371183
KWEBl_EQ,0.800702,24.06638175,22.29,-1.51,-0.41,2025-01-28T16:31:50.000+02:00,AUTOINVEST,49999999.199298,50000000.0,0.800702
SV_US_EQ,34.629098,20.04874629,12.44,-215.95,-11.92,2024-12-26T20:07:50.000+02:00,AUTOINVEST,267397.370902,267432.0,34.629098
MOBQ_US_EQ,3.61776,2.83600902,2.3,-1.64,-0.14,2025-01-21T16:30:16.000+02:00,AUTOINVEST,79.38224,83.0,3.61776
ORAp_EQ,3.71764,9.70508172,12.185,8.55,0.73,2025-01-02T10:00:17.000+02:00,AUTOINVEST,427755.28236,427759.0,0.0
LAES_US_EQ,20.0,6.18,2.34,-64.35,-4.88,2025-01-10T11:00:12.000+02:00,ANDROID,19460.0,19480.0,0.0
FTNT_US_EQ,0.2244251,106.00418581,84.25,-4.16,-0.38,2025-01-21T16:30:18.000+02:00,AUTOINVEST,224022.7755749,224023.0,0.2244251
QRVO_US_EQ,3.599417,69.79185796,56.35,-42.21,-4.74,2025-01-06T16:30:03.000+02:00,AUTOINVEST,60010.400583,60014.0,3.599417
IDCC_US_EQ,0.1143671,198.13390389,188.0,-1.42,-0.52,2025-01-21T16:30:03.000+02:00,AUTOINVEST,18706.8856329,18707.0,0.1143671
BYDDY_US_EQ,2.799285,95.84590351,88.16,-22.22,-5.56,2025-02-12T16:53:28.000+02:00,AUTOINVEST,1077.200715,1080.0,2.799285
SXRUd_EQ,0.0118263,496.35135249,427.8,-0.58,0.11,2025-01-06T18:20:22.000+02:00,AUTOINVEST,49999999.9881737,50000000.0,0.0118263
TSM_US_EQ,0.0554273,197.37566145,144.3,-2.63,-0.35,2025-01-02T16:30:03.000+02:00,AUTOINVEST,619118.9445727,619119.0,0.0554273
PSIX_US_EQ,0.235745,32.83208552,21.5,-2.29,-0.22,2025-01-21T16:30:12.000+02:00,AUTOINVEST,499.764255,500.0,0.235745
RDNT_US_EQ,0.194117,69.1850791,48.7,-3.48,-0.4,2025-01-02T16:30:03.000+02:00,AUTOINVEST,23456.805883,23457.0,0.194117
ACN_US_EQ,0.0292633,353.68533282,284.97,-1.88,-0.32,2025-01-02T16:30:01.000+02:00,AUTOINVEST,165600.9707367,165601.0,0.0292633
RTPY_US_EQ,75.68019,7.35925742,5.66,-110.32,-10.74,2024-12-26T20:07:51.000+02:00,AUTOINVEST,469556.31981,469632.0,75.68019
DGRGl_EQ,2.9478662,3821.99843399,3388.0,-12.8,,2024-12-30T10:01:15.000+02:00,AUTOINVEST,49999997.0521338,50000000.0,2.9478662
TCEHY_US_EQ,11.078706,57.94990859,59.91,4.28,-12.54,2024-12-31T15:00:02.000+02:00,AUTOINVEST,1306.921294,1318.0,11.078706
PI_US_EQ,0.0159859,135.74462495,72.0,-0.89,-0.1,2025-01-13T22:22:13.000+02:00,AUTOINVEST,25978.9840141,25979.0,0.0159859
FLUX_US_EQ,115.4997,1.67394374,1.44,-26.1,-5.18,2024-12-26T20:07:52.000+02:00,AUTOINVEST,5148.5003,5264.0,115.4997
ABBNsEQ,0.198627,49.33871025,41.05,-1.34,0.14,2025-01-03T10:00:06.000+02:00,AUTOINVEST,182959.801373,182960.0,0.198627
MOH_US_EQ,0.6263934,299.26879817,346.74,18.23,-4.8,2025-01-06T16:30:02.000+02:00,AUTOINVEST,29026.3736066,29027.0,0.6263934
DMYI_US_EQ,23.624858,37.2895363,20.45,-332.75,-24.69,2024-12-26T20:07:50.000+02:00,AUTOINVEST,192165.375142,192189.0,8.190911
LMT_US_EQ,0.0221637,485.92969585,429.57,-1.32,-0.35,2025-01-02T16:30:02.000+02:00,AUTOINVEST,46855.9778363,46856.0,0.0221637
MSFT_US_EQ,0.0261866,425.79028969,359.8,-1.69,-0.35,2025-01-02T16:30:02.000+02:00,AUTOINVEST,887755.9738134,887756.0,0.0261866
TSLA_US_EQ,0.0293002,306.48254961,235.25,-1.77,-0.15,2025-01-21T16:30:12.000+02:00,AUTOINVEST,3512405.9706998,3512406.0,0.0293002
UTX_US_EQ,0.5479863,123.47024004,117.01,-3.9,-1.16,2025-01-02T16:30:02.000+02:00,AUTOINVEST,283101.4520137,283102.0,0.5479863
BIDU_US_EQ,0.148492,83.37149476,82.0,-0.55,-0.39,2025-01-02T16:30:02.000+02:00,AUTOINVEST,189129.851508,189130.0,0.0
MPNGY_US_EQ,0.494769,40.6452304,37.11,-1.72,-0.37,2025-01-28T16:31:51.000+02:00,AUTOINVEST,2147.505231,2148.0,0.494769
NVDA_US_EQ,0.1371898,134.26654168,92.59,-5.1,-0.67,2025-01-02T16:30:03.000+02:00,AUTOINVEST,18911277.8628102,18911278.0,0.1371898
ESITl_EQ,5.48283,6.72098168,5.744,-5.36,,2025-01-06T18:20:24.000+02:00,AUTOINVEST,49999994.51717,50000000.0,5.48283
CRNT_US_EQ,0.8537,3.45554644,2.07,-0.99,-0.07,2025-01-21T16:30:05.000+02:00,AUTOINVEST,13203.1463,13204.0,0.8537
WLDSl_EQ,1.78777,6.02426487,5.16,-1.55,,2024-12-30T10:01:23.000+02:00,AUTOINVEST,49999998.21223,50000000.0,1.78777
FGNA_US_EQ,0.095136,11.03683148,8.19,-0.24,-0.03,2025-01-21T16:31:47.000+02:00,AUTOINVEST,9739.904864,9740.0,0.095136
TXN_US_EQ,0.3641306,194.07871791,151.03,-13.04,-0.9,2025-01-02T16:30:02.000+02:00,AUTOINVEST,283506.6358694,283507.0,0.3641306
ATOM_US_EQ,3.230471,10.64241097,3.49,-18.81,-0.92,2024-12-31T16:30:02.000+02:00,AUTOINVEST,12599.769529,12603.0,3.230471
DHSPl_EQ,6.10614056,2445.24341575,2266.7,-10.9,,2024-12-30T10:03:01.000+02:00,AUTOINVEST,49999993.89385944,50000000.0,6.10614056
LTAMl_EQ,0.47539803,1112.14175625,1059.25,-0.24,,2025-01-06T18:20:18.000+02:00,AUTOINVEST,49999999.52460197,50000000.0,0.47539803
FXCl_EQ,3.56945454,7670.72943307,7209.0,-16.48,,2024-12-31T10:00:46.000+02:00,AUTOINVEST,49999996.43054546,50000000.0,3.56945454
VRTX_US_EQ,0.0443447,460.25793387,468.95,-0.26,-0.56,2025-01-21T16:30:00.000+02:00,AUTOINVEST,59344.9556553,59345.0,0.0443447
MCHP_US_EQ,0.171502,58.1917412,36.22,-3.24,-0.32,2025-01-02T16:30:00.000+02:00,AUTOINVEST,347311.828498,347312.0,0.171502
VUTYl_EQ,2.45898,17.21038805,17.06,-0.37,,2025-01-06T18:20:23.000+02:00,AUTOINVEST,49999997.54102,50000000.0,2.45898
ADI_US_EQ,0.4040913,225.96378591,164.49,-19.88,-0.64,2025-01-02T16:30:04.000+02:00,AUTOINVEST,180202.5959087,180203.0,0.4040913
MRVL_US_EQ,0.1109818,110.82898277,48.9,-5.7,-0.38,2025-01-02T16:30:01.000+02:00,AUTOINVEST,628086.8890182,628087.0,0.1109818
IBTAl_EQ,0.87522,5.62144375,5.745,-0.04,-0.12,2025-01-06T18:21:12.000+02:00,AUTOINVEST,49999999.12478,50000000.0,0.87522
NXPI_US_EQ,0.0430297,210.31984885,160.54,-1.95,-0.29,2025-01-02T16:30:00.000+02:00,AUTOINVEST,82942.9569703,82943.0,0.0430297
ZETA_US_EQ,0.479966,19.73056425,12.08,-3.11,-0.27,2025-01-21T16:30:05.000+02:00,AUTOINVEST,120726.520034,120727.0,0.479966
VWRPl_EQ,0.0395956,113.39643799,98.39,-0.59,,2025-01-06T18:20:22.000+02:00,AUTOINVEST,49999999.9604044,50000000.0,0.0395956
YUMC,0.784413,48.01042308,47.98,-0.84,-0.82,2025-01-28T16:31:49.000+02:00,AUTOINVEST,143073.215587,143074.0,0.784413
SNII_US_EQ,47.041166,12.11810949,7.33,-191.3,-16.89,2024-12-26T20:07:47.000+02:00,AUTOINVEST,12952.958834,13000.0,21.362819
QFIN_US_EQ,1.31682,41.59262466,37.42,-5.48,-1.23,2025-01-28T16:31:50.000+02:00,AUTOINVEST,56084.68318,56086.0,1.31682
XPOA_US_EQ,61.425109,7.96319303,6.22,-96.68,-13.77,2024-12-26T20:07:48.000+02:00,AUTOINVEST,137938.574891,138000.0,23.773749
RR_US_EQ,11.46744,2.42687121,1.85,-5.71,-0.59,2025-01-21T16:30:05.000+02:00,AUTOINVEST,24318.53256,24330.0,11.46744
WCOBl_EQ,14.39971066,1174.39859726,1148.0,-3.8,,2024-12-30T10:00:40.000+02:00,AUTOINVEST,49999985.60028934,50000000.0,14.39971066
SNPS_US_EQ,0.0226323,498.40272531,388.1,-2.29,-0.36,2025-01-02T16:30:00.000+02:00,AUTOINVEST,43182.9773677,43183.0,0.0226323
CDNS_US_EQ,0.0415231,304.40887121,232.81,-2.7,-0.4,2025-01-02T16:30:21.000+02:00,AUTOINVEST,70508.9584769,70509.0,0.0415231
MU_US_EQ,0.2413237,98.82991186,64.0,-6.59,-0.08,2025-01-13T22:22:10.000+02:00,AUTOINVEST,713592.7586763,713593.0,0.2413237
QUBT_US_EQ,12.39938,9.90614047,6.26,-39.11,-4.1,2025-01-02T16:30:03.000+02:00,AUTOINVEST,46952.60062,46965.0,2.39938
CNX1_EQ,0.00495158,98586.71373582,78667.0,-0.98,,2025-01-06T18:20:18.000+02:00,AUTOINVEST,49999999.99504842,50000000.0,0.00495158
SAGGl_EQ,8.84496,3.40306796,3.383,-0.18,,2024-12-30T10:00:42.000+02:00,AUTOINVEST,49999991.15504,50000000.0,8.84496
AIRp_EQ,0.3892901,170.05313004,146.9,-6.55,1.09,2025-01-02T10:00:09.000+02:00,AUTOINVEST,46155.6107099,46156.0,0.3892901
SPY5l_EQ,0.0103927,601.38366353,517.75,-0.82,-0.15,2025-01-06T18:20:18.000+02:00,AUTOINVEST,49999999.9896073,50000000.0,0.0103927
